品牌,max_year,max_month,max_年月,max月销量,上月销量,月环比,去年同月销量,月同比,累计销量(1~Max月),去年累计销量(1~Max月),累计同比(1~Max月)
AITO,2026,2,2026-02,16381,38819,-0.578016,11137,0.470863,55200,32862,0.679752
乐道,2026,2,2026-02,2920,4195,-0.303933,4221,-0.308221,7115,11610,-0.387166
享界,2026,2,2026-02,4637,5006,-0.073712,582,6.967354,9643,1269,6.598897
埃安,2026,2,2026-02,7640,15286,-0.500196,19357,-0.605311,22926,36238,-0.367349
小米,2026,2,2026-02,20382,39101,-0.478735,23787,-0.143145,59483,46772,0.271765
小鹏,2026,2,2026-02,12675,15925,-0.204082,25598,-0.504844,28600,57908,-0.506113
岚图,2026,2,2026-02,5433,8205,-0.337843,4876,0.114233,13638,12481,0.092701
智己,2026,2,2026-02,3136,4934,-0.364410,2543,0.233189,8070,6145,0.313263
智界,2026,2,2026-02,2351,4827,-0.512948,9467,-0.751664,7178,21880,-0.671938
极氪,2026,2,2026-02,14637,19064,-0.232218,12075,0.212174,33701,24412,0.380510
深蓝,2026,2,2026-02,6914,8908,-0.223844,10864,-0.363586,15822,26173,-0.395484
特斯拉,2026,2,2026-02,37990,19986,0.900831,29318,0.295791,57976,63086,-0.081001
理想,2026,2,2026-02,25931,27472,-0.056093,26007,-0.002922,53403,56779,-0.059459
腾势,2026,2,2026-02,4289,6189,-0.306996,7338,-0.415508,10478,18760,-0.441471
蔚来,2026,2,2026-02,15406,22555,-0.316959,8143,0.891932,37961,17024,1.229852
阿维塔,2026,2,2026-02,2004,3360,-0.403571,4156,-0.517806,5364,10543,-0.491226
零跑,2026,2,2026-02,16572,21473,-0.228240,18422,-0.100423,38045,42806,-0.111223
领克,2026,2,2026-02,6272,7308,-0.141762,8054,-0.221257,13580,20798,-0.347053
